MAE,RMSE,Loss,RegLoss,epoch
865473.5,977824.125,0.7314002513885498,0.0,0
841376.125,944417.375,0.7014558911323547,0.0,1
815040.1875,912180.4375,0.6699314117431641,0.0,2
789345.8125,881737.5,0.6372289657592773,0.0,3
756480.375,844146.4375,0.5973412990570068,0.0,4
720245.9375,795404.5625,0.5543808937072754,0.0,5
675310.625,747622.5625,0.5005918145179749,0.0,6
623553.875,688699.625,0.43975403904914856,0.0,7
566140.0625,621287.5,0.3752841651439667,0.0,8
498296.9375,549850.9375,0.30315741896629333,0.0,9
422490.96875,467363.71875,0.22709929943084717,0.0,10
340238.6875,381150.0625,0.15474049746990204,0.0,11
256560.234375,300887.03125,0.0967104434967041,0.0,12
185593.375,237209.203125,0.06360215693712234,0.0,13
145037.484375,198256.296875,0.04330769553780556,0.0,14
137516.453125,181123.03125,0.03501001000404358,0.0,15
129729.1171875,164588.75,0.028609612956643105,0.0,16
115150.578125,142826.609375,0.020560557022690773,0.0,17
99009.46875,119374.53125,0.013731668703258038,0.0,18
85824.984375,101369.46875,0.009500062093138695,0.0,19
78236.453125,92014.046875,0.007830054499208927,0.0,20
75448.28125,88847.7109375,0.007400488015264273,0.0,21
74160.265625,87896.4375,0.007225872483104467,0.0,22
72373.8359375,86210.1953125,0.00704850722104311,0.0,23
70900.8671875,84535.3125,0.006863000802695751,0.0,24
70045.6640625,84317.25,0.0068929921835660934,0.0,25
68079.0625,81563.8515625,0.006522358860820532,0.0,26
67401.3203125,81064.8125,0.006428343243896961,0.0,27
65804.328125,80380.953125,0.006288350559771061,0.0,28
64335.15625,78681.6953125,0.006191650405526161,0.0,29
63768.28125,77140.46875,0.006020776927471161,0.0,30
62842.67578125,77297.4609375,0.005945188459008932,0.0,31
61572.12109375,76565.5625,0.005862637422978878,0.0,32
61739.08203125,76327.28125,0.006071906071156263,0.0,33
61280.8125,75866.9375,0.005866855848580599,0.0,34
59813.6015625,76242.21875,0.005904303397983313,0.0,35
58488.0234375,74666.8984375,0.005655473563820124,0.0,36
59560.609375,75286.78125,0.005769648589193821,0.0,37
58473.7421875,74711.109375,0.00574691966176033,0.0,38
57823.734375,73540.453125,0.005540348589420319,0.0,39
58534.0859375,75579.3125,0.0058249058201909065,0.0,40
58314.78125,74426.2890625,0.005730865988880396,0.0,41
56636.21875,72284.4140625,0.005455471575260162,0.0,42
56616.6640625,73998.65625,0.005729056894779205,0.0,43
56642.1171875,73549.078125,0.0057555921375751495,0.0,44
58378.78125,74799.484375,0.005974529776722193,0.0,45
56061.66015625,73441.8359375,0.005605012644082308,0.0,46
55853.99609375,71476.0234375,0.005427377298474312,0.0,47
56647.86328125,73452.578125,0.005699183326214552,0.0,48
54948.94921875,71163.8671875,0.005342179909348488,0.0,49
55371.0,71978.3125,0.005508030764758587,0.0,50
54738.6171875,73070.9296875,0.00564508605748415,0.0,51
