MAE,RMSE,Loss,RegLoss,epoch
204082.390625,252551.90625,0.46865200996398926,0.0,0
195598.109375,239424.71875,0.43914318084716797,0.0,1
183240.40625,229719.390625,0.4055526554584503,0.0,2
174658.34375,218477.203125,0.37324047088623047,0.0,3
165903.953125,204629.515625,0.3427237272262573,0.0,4
158669.859375,196725.625,0.31681257486343384,0.0,5
146938.640625,183154.96875,0.2777480185031891,0.0,6
135945.65625,167569.421875,0.24090096354484558,0.0,7
123597.796875,150977.640625,0.2019624263048172,0.0,8
114373.2578125,138921.875,0.17107778787612915,0.0,9
103091.0390625,124498.859375,0.13875612616539001,0.0,10
93244.015625,112080.9296875,0.11150236427783966,0.0,11
84449.9453125,100261.9140625,0.09102816134691238,0.0,12
75990.1171875,89667.3828125,0.0727895200252533,0.0,13
69602.578125,81660.453125,0.05929196998476982,0.0,14
62140.49609375,72879.1484375,0.04643145576119423,0.0,15
54941.88671875,64383.875,0.03604390472173691,0.0,16
48551.609375,56569.59375,0.027720600366592407,0.0,17
42097.8203125,48908.05859375,0.020702309906482697,0.0,18
38070.73828125,44113.05859375,0.01648578979074955,0.0,19
34882.10546875,40220.11328125,0.013667028397321701,0.0,20
32553.837890625,37342.8515625,0.01202139537781477,0.0,21
29640.095703125,33992.92578125,0.010121520608663559,0.0,22
28576.439453125,32622.998046875,0.009671732783317566,0.0,23
26311.9765625,30238.6640625,0.008359285071492195,0.0,24
25116.40234375,29144.5625,0.007966944947838783,0.0,25
23963.421875,28041.3203125,0.007670138962566853,0.0,26
22102.978515625,25982.6875,0.006564816925674677,0.0,27
20782.748046875,24960.548828125,0.006171068176627159,0.0,28
19649.89453125,23720.40625,0.005657420493662357,0.0,29
19167.6875,22977.546875,0.005339941009879112,0.0,30
17814.505859375,21940.30859375,0.005011667963117361,0.0,31
17036.185546875,21111.615234375,0.004785303492099047,0.0,32
16423.955078125,20666.294921875,0.004572106990963221,0.0,33
15657.2197265625,19730.81640625,0.0042556277476251125,0.0,34
14468.6806640625,18863.583984375,0.003887541126459837,0.0,35
14245.154296875,18349.951171875,0.003665647469460964,0.0,36
13913.8447265625,18287.373046875,0.003894786350429058,0.0,37
13068.5029296875,17153.62109375,0.0034687831066548824,0.0,38
13100.740234375,17394.166015625,0.003483134787529707,0.0,39
12566.8330078125,16928.720703125,0.0032469225116074085,0.0,40
12186.0947265625,16062.5947265625,0.0030291012953966856,0.0,41
12540.8583984375,16256.708984375,0.003091610036790371,0.0,42
11852.755859375,15889.4443359375,0.0029576458036899567,0.0,43
12194.38671875,15770.0673828125,0.00285086827352643,0.0,44
12216.91015625,16583.6015625,0.003183971857652068,0.0,45
12370.6337890625,16181.42578125,0.0029643489979207516,0.0,46
12552.2724609375,16033.5517578125,0.0029282313771545887,0.0,47
12377.0751953125,16096.865234375,0.003013532841578126,0.0,48
11107.2197265625,15076.0703125,0.0026046764105558395,0.0,49
10929.5390625,14751.767578125,0.0025229642633348703,0.0,50
10561.4462890625,14579.806640625,0.0024788049049675465,0.0,51
10655.61328125,14064.7060546875,0.002357729244977236,0.0,52
11018.3935546875,14550.201171875,0.002436751266941428,0.0,53
10572.1943359375,14681.3037109375,0.002560375491157174,0.0,54
11555.74609375,15206.888671875,0.0027597821317613125,0.0,55
11452.515625,15200.4111328125,0.0026813221629709005,0.0,56
10759.0625,14371.9423828125,0.0023990736808627844,0.0,57
11227.0224609375,14793.044921875,0.0024776996579021215,0.0,58
10810.2724609375,14438.201171875,0.00246642017737031,0.0,59
11093.3974609375,14652.966796875,0.002531222766265273,0.0,60
10937.66796875,14492.3515625,0.0024354972410947084,0.0,61
11433.7216796875,15607.2412109375,0.002828969620168209,0.0,62
12854.693359375,16459.087890625,0.002947688801214099,0.0,63
13901.6259765625,17807.177734375,0.003625816898420453,0.0,64
11443.3486328125,15583.7880859375,0.0028854773845523596,0.0,65
11300.8828125,15282.9873046875,0.00272785103879869,0.0,66
12109.8837890625,15987.4765625,0.0028758677653968334,0.0,67
10888.2431640625,14625.0859375,0.0026631224900484085,0.0,68
11367.4521484375,15374.3642578125,0.0027259259950369596,0.0,69
12524.38671875,16550.7265625,0.0031434663105756044,0.0,70
13280.212890625,16989.927734375,0.0032168226316571236,0.0,71
13488.2685546875,17708.2734375,0.0037225382402539253,0.0,72
13817.138671875,17930.966796875,0.0037941893097013235,0.0,73
11308.349609375,15276.5078125,0.002754222135990858,0.0,74
11161.8427734375,14869.888671875,0.0025913361459970474,0.0,75
13404.3701171875,18286.9921875,0.0042351926676929,0.0,76
11625.94921875,15541.3701171875,0.002908722497522831,0.0,77
11997.70703125,16364.736328125,0.002965867053717375,0.0,78
14945.3017578125,19535.060546875,0.004363670013844967,0.0,79
17657.490234375,22257.861328125,0.005879187490791082,0.0,80
12458.0458984375,16697.19140625,0.003269812325015664,0.0,81
12446.876953125,16557.919921875,0.0031740895938128233,0.0,82
11985.943359375,16505.544921875,0.0031584270764142275,0.0,83
13767.126953125,18175.837890625,0.003995450679212809,0.0,84
15930.583984375,21516.869140625,0.005465625319629908,0.0,85
15507.10546875,20257.51953125,0.004756348207592964,0.0,86
14357.8076171875,19163.447265625,0.004181684926152229,0.0,87
12396.8359375,16348.830078125,0.0031588030979037285,0.0,88
11892.841796875,16081.6640625,0.003177042119204998,0.0,89
12364.4267578125,16453.548828125,0.0030630084220319986,0.0,90
14494.8974609375,19946.068359375,0.004631729330867529,0.0,91
13237.9208984375,17628.197265625,0.0035656450781971216,0.0,92
