MAE,RMSE,Loss,RegLoss,epoch
153037.5625,187889.9375,0.20463848114013672,0.0,0
145604.078125,180076.59375,0.19119665026664734,0.0,1
135660.453125,168199.234375,0.16762685775756836,0.0,2
126468.140625,156882.0,0.14606255292892456,0.0,3
119976.4453125,147977.6875,0.12954306602478027,0.0,4
111647.203125,136649.890625,0.10982578992843628,0.0,5
101196.53125,124640.265625,0.09093330055475235,0.0,6
94204.0234375,115472.390625,0.07721617817878723,0.0,7
87224.046875,106103.8203125,0.06386416405439377,0.0,8
80263.8046875,96471.5078125,0.05199421942234039,0.0,9
73203.96875,86983.7578125,0.04004533588886261,0.0,10
66597.609375,78664.3984375,0.031428053975105286,0.0,11
63217.375,73421.2109375,0.025493420660495758,0.0,12
60953.1328125,70890.328125,0.023167092353105545,0.0,13
59779.921875,69280.109375,0.022065553814172745,0.0,14
58153.1015625,67700.8125,0.021134400740265846,0.0,15
56939.1484375,65871.4921875,0.020382296293973923,0.0,16
55965.0625,65433.6953125,0.02079218626022339,0.0,17
53799.9453125,62604.29296875,0.018932335078716278,0.0,18
54246.9140625,62384.7421875,0.019110865890979767,0.0,19
51421.88671875,59123.9375,0.017338786274194717,0.0,20
50687.65234375,58064.92578125,0.016644354909658432,0.0,21
49684.43359375,56951.1796875,0.016368292272090912,0.0,22
47205.92578125,55071.890625,0.015653960406780243,0.0,23
46771.515625,54132.82421875,0.015265575610101223,0.0,24
45828.953125,52774.1875,0.014597303234040737,0.0,25
44546.8515625,51785.9921875,0.014374736696481705,0.0,26
43082.734375,50775.71875,0.014163860119879246,0.0,27
43111.1875,51266.65625,0.014266729354858398,0.0,28
40253.25,48584.57421875,0.012887705117464066,0.0,29
41154.7890625,49623.734375,0.01375134103000164,0.0,30
39239.6328125,47808.4921875,0.012745548970997334,0.0,31
38582.8515625,47173.10546875,0.012660514563322067,0.0,32
39018.57421875,47545.65234375,0.012909404002130032,0.0,33
35934.859375,44911.91796875,0.011491499841213226,0.0,34
35980.515625,44425.90234375,0.011674175038933754,0.0,35
35217.9609375,43856.828125,0.011026361957192421,0.0,36
34700.703125,43663.02734375,0.011089791543781757,0.0,37
34285.34375,43513.3671875,0.011403072625398636,0.0,38
33554.52734375,42254.54296875,0.010619924403727055,0.0,39
32130.05859375,42118.26171875,0.010411086492240429,0.0,40
32554.02734375,42043.421875,0.010680634528398514,0.0,41
32204.177734375,42880.015625,0.011189872398972511,0.0,42
30554.94140625,39604.00390625,0.009365334175527096,0.0,43
30126.451171875,39721.49609375,0.009291712194681168,0.0,44
31460.5546875,41811.12890625,0.010812143795192242,0.0,45
30104.0234375,39914.41796875,0.009699776768684387,0.0,46
28743.587890625,37895.7265625,0.008820326067507267,0.0,47
31853.72265625,41764.7734375,0.010572757571935654,0.0,48
29923.90625,39779.69140625,0.009942594915628433,0.0,49
27036.283203125,36920.4921875,0.008312230929732323,0.0,50
28864.76171875,37369.78515625,0.008660869672894478,0.0,51
28032.923828125,37795.328125,0.008723413571715355,0.0,52
28946.833984375,39848.60546875,0.009852959774434566,0.0,53
27385.787109375,36153.35546875,0.007931526750326157,0.0,54
28787.494140625,39855.12890625,0.009931408800184727,0.0,55
32516.2421875,42472.58203125,0.011562078259885311,0.0,56
32590.46875,41890.5859375,0.010528992861509323,0.0,57
33929.265625,45879.05078125,0.013151313178241253,0.0,58
30099.822265625,38854.8515625,0.00959803257137537,0.0,59
27041.61328125,37557.5,0.008793538436293602,0.0,60
27173.0703125,37119.83203125,0.008992097340524197,0.0,61
31365.78125,40859.9296875,0.01059174444526434,0.0,62
31986.87890625,42230.359375,0.011319677345454693,0.0,63
29557.9375,41065.09765625,0.011485225521028042,0.0,64
27060.361328125,36549.2734375,0.008424378000199795,0.0,65
29296.5078125,40079.43359375,0.010220887139439583,0.0,66
26312.568359375,34408.359375,0.007652117870748043,0.0,67
24538.03515625,33543.015625,0.007211082614958286,0.0,68
26722.890625,34739.78515625,0.007302233017981052,0.0,69
28167.4765625,36998.62109375,0.008788196370005608,0.0,70
32578.46484375,44350.5703125,0.01259229052811861,0.0,71
31373.4296875,42602.390625,0.011465098708868027,0.0,72
28532.2734375,40492.10546875,0.010482209734618664,0.0,73
35169.71484375,46744.19921875,0.01349398773163557,0.0,74
34572.0078125,47926.65234375,0.01569122076034546,0.0,75
50058.21875,68187.125,0.029055271297693253,0.0,76
43857.19921875,69158.671875,0.030724290758371353,0.0,77
42364.546875,63121.859375,0.025566836819052696,0.0,78
32429.486328125,44734.35546875,0.012189865112304688,0.0,79
27148.17578125,38733.37890625,0.009701337665319443,0.0,80
31707.857421875,44608.48828125,0.012902321293950081,0.0,81
28750.583984375,40550.1796875,0.010455784387886524,0.0,82
27605.609375,37680.3515625,0.009056614711880684,0.0,83
36720.12109375,51000.203125,0.01653400808572769,0.0,84
32221.8671875,42942.7578125,0.01143362745642662,0.0,85
33412.66015625,47449.81640625,0.014059718698263168,0.0,86
28703.189453125,40347.0703125,0.010299724526703358,0.0,87
32196.134765625,42769.26171875,0.012124728411436081,0.0,88
33434.56640625,45612.17578125,0.01335276011377573,0.0,89
30222.041015625,42865.1171875,0.011634403839707375,0.0,90
28339.80078125,39101.38671875,0.009717831388115883,0.0,91
32769.10546875,44868.5,0.01365707628428936,0.0,92
32457.982421875,45913.16796875,0.013532936573028564,0.0,93
30708.5703125,43499.2734375,0.012272515334188938,0.0,94
27067.626953125,38373.265625,0.009428303688764572,0.0,95
31162.78515625,41553.25,0.011062078177928925,0.0,96
40338.23046875,54894.546875,0.018547553569078445,0.0,97
36148.4375,49920.23046875,0.016554001718759537,0.0,98
30683.18359375,43132.4609375,0.011971286498010159,0.0,99
29151.357421875,40567.32421875,0.010432235896587372,0.0,100
25453.71875,36582.75,0.009038371965289116,0.0,101
27068.8125,39837.37109375,0.010343663394451141,0.0,102
34201.79296875,47427.046875,0.016002794727683067,0.0,103
30965.861328125,41617.828125,0.011261931620538235,0.0,104
27345.18359375,37648.01171875,0.009189523756504059,0.0,105
29577.9453125,40469.265625,0.010149169713258743,0.0,106
29244.5625,39911.046875,0.010647818446159363,0.0,107
25850.4140625,36099.3359375,0.00902700424194336,0.0,108
27326.265625,38248.3125,0.009462486952543259,0.0,109
26527.919921875,36093.84375,0.00819502491503954,0.0,110
32492.611328125,44508.02734375,0.012657509185373783,0.0,111
27236.72265625,37208.390625,0.00877442117780447,0.0,112
27363.58203125,35620.37890625,0.007997799664735794,0.0,113
25777.75,34660.109375,0.0074179768562316895,0.0,114
30010.27734375,42056.04296875,0.01117946021258831,0.0,115
31352.013671875,41880.49609375,0.01134305540472269,0.0,116
38910.94921875,53570.421875,0.017574109137058258,0.0,117
35157.19921875,49776.6953125,0.016218338161706924,0.0,118
29743.05859375,41652.63671875,0.011091689579188824,0.0,119
28793.408203125,38834.140625,0.009715565480291843,0.0,120
24438.236328125,34299.24609375,0.007597879506647587,0.0,121
32696.0078125,42217.140625,0.011478506959974766,0.0,122
36663.10546875,49063.015625,0.0147724449634552,0.0,123
32184.111328125,44979.41796875,0.013343940488994122,0.0,124
29513.423828125,40660.54296875,0.010484140366315842,0.0,125
33036.90234375,45635.37890625,0.012566674500703812,0.0,126
