MAE,RMSE,Loss,RegLoss,epoch
329399.5625,401684.625,0.2673189043998718,0.0,0
315080.875,385243.0,0.2453356385231018,0.0,1
299945.15625,366714.53125,0.22408641874790192,0.0,2
282067.28125,345480.0625,0.19863219559192657,0.0,3
258548.5,315361.03125,0.17021355032920837,0.0,4
243254.0,298344.46875,0.15029466152191162,0.0,5
224789.078125,274649.90625,0.1278546303510666,0.0,6
208446.765625,252326.28125,0.11090973764657974,0.0,7
187417.921875,227618.390625,0.08993619680404663,0.0,8
175846.3125,212197.109375,0.07796312868595123,0.0,9
166462.5,200330.9375,0.06846185028553009,0.0,10
152347.15625,183398.46875,0.05744878947734833,0.0,11
143073.609375,170483.4375,0.04955403506755829,0.0,12
130882.2109375,155094.171875,0.04140589013695717,0.0,13
119479.21875,141230.8125,0.03364641219377518,0.0,14
106916.6171875,126828.46875,0.027125567197799683,0.0,15
96689.9765625,114635.90625,0.02228383719921112,0.0,16
87986.1953125,102923.8828125,0.018106350675225258,0.0,17
78259.6484375,92050.859375,0.014521443285048008,0.0,18
71839.1875,83922.9765625,0.012248840183019638,0.0,19
66240.0625,76909.75,0.010569516569375992,0.0,20
60802.140625,71169.65625,0.009322878904640675,0.0,21
56817.53125,66476.921875,0.008502859622240067,0.0,22
52305.15234375,62046.21484375,0.007620887830853462,0.0,23
50335.203125,60337.5546875,0.0072612580843269825,0.0,24
46370.203125,56302.70703125,0.0065407054498791695,0.0,25
45353.3984375,55196.671875,0.006318637635558844,0.0,26
42773.078125,52731.07421875,0.0059967744164168835,0.0,27
40953.46484375,50934.859375,0.005661555100232363,0.0,28
40446.2421875,50250.09765625,0.005591523367911577,0.0,29
40107.9453125,50123.265625,0.005443756002932787,0.0,30
37926.55859375,47672.93359375,0.0049840305000543594,0.0,31
37532.953125,47372.12109375,0.004952081013470888,0.0,32
36496.53515625,45681.7578125,0.004713122267276049,0.0,33
36197.765625,46743.8046875,0.004961377941071987,0.0,34
38311.4609375,48197.2734375,0.005228593945503235,0.0,35
35937.8359375,46267.2265625,0.004885032307356596,0.0,36
34837.0546875,45343.53125,0.004789297468960285,0.0,37
34313.9921875,44775.07421875,0.004665198270231485,0.0,38
33995.42578125,43970.421875,0.004498874768614769,0.0,39
34377.9375,44095.39453125,0.004511380568146706,0.0,40
32712.513671875,43296.6328125,0.004357955884188414,0.0,41
32598.798828125,42994.9453125,0.004338855855166912,0.0,42
34379.078125,44163.328125,0.0047309426590800285,0.0,43
33008.046875,44993.41796875,0.004774128086864948,0.0,44
31943.978515625,42314.3515625,0.004310884512960911,0.0,45
34616.8828125,44146.8515625,0.004529247526079416,0.0,46
31812.416015625,43128.66015625,0.004413289483636618,0.0,47
34898.2734375,45417.0546875,0.005203217267990112,0.0,48
36307.7734375,49594.86328125,0.005874388385564089,0.0,49
33850.4140625,46017.390625,0.005168403964489698,0.0,50
32085.62890625,43682.546875,0.0046485112980008125,0.0,51
32990.91015625,43481.62890625,0.004561800975352526,0.0,52
31954.830078125,42871.77734375,0.00459766061976552,0.0,53
33124.91796875,43548.31640625,0.004524183925241232,0.0,54
34524.26171875,47062.71484375,0.0054921298287808895,0.0,55
33284.9765625,44822.09765625,0.004770723171532154,0.0,56
33320.31640625,45327.6640625,0.005276372190564871,0.0,57
31437.861328125,42219.359375,0.004396883305162191,0.0,58
32498.298828125,46473.10546875,0.005414717830717564,0.0,59
33758.140625,46876.2578125,0.005326055455952883,0.0,60
36023.98828125,49115.83203125,0.006215488538146019,0.0,61
38299.87890625,53993.859375,0.0072199138812720776,0.0,62
